 nodeID, x, y, ux, uy, sx, sy, sxy
53070,-20.8019,-291.629,-0.625933,0.645033,-0.169959,-0.383615,0.178313
53071,-19.5801,-291.713,-0.608006,0.722631,-0.176256,-0.439801,0.179558
53072,-18.358,-291.793,-0.586587,0.800243,-0.183391,-0.495248,0.177675
53073,-17.1356,-291.867,-0.56184,0.876847,-0.191324,-0.549015,0.173153
53074,-15.9129,-291.936,-0.533984,0.951526,-0.199905,-0.600398,0.166458
53075,-14.6899,-292,-0.503264,1.02346,-0.208923,-0.648886,0.158007
53076,-13.4667,-292.059,-0.46994,1.09192,-0.218138,-0.694114,0.14815
53077,-12.2432,-292.113,-0.434271,1.15629,-0.227313,-0.735825,0.137176
53078,-11.0195,-292.162,-0.396512,1.21601,-0.236224,-0.773842,0.125317
53079,-9.79556,-292.205,-0.356908,1.27061,-0.244672,-0.808041,0.112758
53080,-8.57149,-292.244,-0.315693,1.31968,-0.252486,-0.838336,0.0996455
53081,-7.34727,-292.277,-0.273094,1.36287,-0.25952,-0.86467,0.0860968
53082,-6.12292,-292.305,-0.229326,1.39989,-0.265656,-0.887002,0.0722068
53083,-4.89847,-292.328,-0.184597,1.43049,-0.270797,-0.905303,0.0580536
53084,-3.67393,-292.346,-0.139106,1.45449,-0.27487,-0.919554,0.0437027
53085,-2.44932,-292.359,-0.0930498,1.47174,-0.277817,-0.929742,0.0292106
53086,-1.22467,-292.367,-0.0466183,1.48213,-0.279601,-0.935858,0.0146275
53087,-2.4087e-12,-292.369,-2.45576e-13,1.4856,-0.280198,-0.937897,3.75573e-13
53088,1.22467,-292.367,0.0466183,1.48213,-0.279601,-0.935858,-0.0146275
53089,2.44932,-292.359,0.0930498,1.47174,-0.277817,-0.929742,-0.0292106
53090,3.67393,-292.346,0.139106,1.45449,-0.27487,-0.919554,-0.0437027
53091,4.89847,-292.328,0.184597,1.43049,-0.270797,-0.905303,-0.0580536
53092,6.12292,-292.305,0.229326,1.39989,-0.265656,-0.887002,-0.0722068
53093,7.34727,-292.277,0.273094,1.36287,-0.25952,-0.86467,-0.0860968
53094,8.57149,-292.244,0.315693,1.31968,-0.252486,-0.838336,-0.0996455
53095,9.79556,-292.205,0.356908,1.27061,-0.244672,-0.808041,-0.112758
53096,11.0195,-292.162,0.396512,1.21601,-0.236224,-0.773842,-0.125317
53097,12.2432,-292.113,0.434271,1.15629,-0.227313,-0.735825,-0.137176
53098,13.4667,-292.059,0.46994,1.09192,-0.218138,-0.694114,-0.14815
53099,14.6899,-292,0.503264,1.02346,-0.208923,-0.648886,-0.158007
