contour,relative_angle_deg,radius_ед. длины,sigma_rr_mpa,sigma_tt_mpa,tau_rt_mpa
inner,-4.666666666667173,250.00000000000003,-2.178983431608204e-06,2.3614268653173094e-07,-1.7820038194417624e-07
inner,-4.333333333333844,250.00000000000003,-2.216443196586793e-06,2.3885234985729263e-07,-1.6821061917132876e-07
inner,-4.000000000000514,250.0,-2.251361826154619e-06,2.4121933797985503e-07,-1.5762511388462638e-07
inner,-3.6666666666671848,250.00000000000003,-2.2836779282879923e-06,2.432696875446237e-07,-1.4648422555342732e-07
inner,-3.3333333333338047,250.00000000000003,-2.3133378199242506e-06,2.4502996533398583e-07,-1.3482990200043494e-07
inner,-3.0000000000004747,250.00000000000003,-2.3402949412466272e-06,2.4652666341265597e-07,-1.2270543913621996e-07
inner,-2.6666666666671452,250.00000000000003,-2.3645092692522884e-06,2.477856226165879e-07,-1.1015526414767615e-07
inner,-2.3333333333338158,250.00000000000003,-2.3859467468704194e-06,2.4883149395388346e-07,-9.722474279517557e-08
inner,-2.0000000000004863,250.00000000000009,-2.404578740649707e-06,2.496872429113489e-07,-8.396000908139219e-08
inner,-1.6666666666671568,250.00000000000006,-2.420381534779039e-06,2.503737017002404e-07,-7.040781671151915e-08
inner,-1.333333333333827,250.00000000000003,-2.433335874927032e-06,2.509091760166531e-07,-5.661541121523233e-08
inner,-1.0000000000004468,250.00000000000006,-2.443426571421774e-06,2.5130910836747417e-07,-4.263041941585126e-08
inner,-0.6666666666671172,250.00000000000003,-2.450642165496904e-06,2.5158580018270956e-07,-2.8500754288872208e-08
inner,-0.33333333333378756,249.99999999999994,-2.4549746647001564e-06,2.517481943429701e-07,-1.4274532256591999e-08
inner,-4.579998741307465e-13,249.99999999999997,-2.4564193510150394e-06,2.5180171911566167e-07,3.080081313190266e-20
inner,0.3333333333328716,249.99999999999997,-2.454974664699208e-06,2.5174819434364124e-07,1.4274532256645499e-08
inner,0.666666666666252,250.00000000000003,-2.4506421654960617e-06,2.515858001830566e-07,2.850075428891207e-08
inner,0.9999999999995816,250.00000000000003,-2.443426571421441e-06,2.5130910836750217e-07,4.263041941587042e-08
inner,1.3333333333329112,250.00000000000006,-2.4333358749271097e-06,2.509091760166179e-07,5.66154112152009e-08
inner,1.6666666666662406,250.00000000000006,-2.4203815347788437e-06,2.5037370170044184e-07,7.040781671143431e-08
inner,1.9999999999995703,250.00000000000006,-2.4045787406498337e-06,2.4968724291131355e-07,8.396000908127244e-08
inner,2.3333333333328996,250.00000000000006,-2.385946746870759e-06,2.4883149395413174e-07,9.722474279510701e-08
inner,2.66666666666628,250.00000000000006,-2.3645092692527115e-06,2.477856226171365e-07,1.1015526414767004e-07
inner,2.9999999999996096,250.0,-2.340294941247356e-06,2.4652666341303067e-07,1.2270543913620802e-07
inner,3.3333333333329396,250.0,-2.313337819924718e-06,2.450299653343212e-07,1.3482990200041982e-07
inner,3.666666666666269,250.00000000000003,-2.2836779282884645e-06,2.432696875445082e-07,1.464842255533309e-07
inner,3.9999999999995985,249.99999999999997,-2.2513618261548355e-06,2.412193379799024e-07,1.5762511388450174e-07
inner,4.333333333332928,249.99999999999994,-2.2164431965859787e-06,2.3885234985848906e-07,1.682106191712296e-07
inner,4.666666666666308,249.99999999999997,-2.1789834316076487e-06,2.36142686533201e-07,1.7820038194415147e-07
inner,4.9999999999996385,249.99999999999997,-2.1390522012916713e-06,2.3306546553328172e-07,1.8755589395677115e-07
inner,5.333333333332968,249.99999999999997,-2.096727988828768e-06,2.2959759110709764e-07,1.9624078185560682e-07
inner,5.6666666666662975,249.99999999999997,-2.052098573419687e-06,2.2571838352212238e-07,2.0422110890611422e-07
inner,5.999999999999627,249.99999999999997,-2.005261442532561e-06,2.2141019256421262e-07,2.1146569107925599e-07
inner,6.3333333333329564,250.0,-1.956324115339693e-06,2.1665898218845072e-07,2.1794642288021724e-07
inner,6.666666666666286,249.99999999999997,-1.905404359993757e-06,2.1145487316817606e-07,2.236386074446786e-07
inner,6.999999999999666,249.99999999999997,-1.8526302884411953e-06,2.0579263056859472e-07,2.285212845866618e-07
inner,7.3333333333329955,249.99999999999997,-1.7981403030112528e-06,1.996720850890724e-07,2.325775501488682e-07
inner,7.666666666666326,250.0,-1.7420829276350016e-06,1.9309846772517765e-07,2.357948558772521e-07
inner,7.999999999999655,249.99999999999997,-1.6846164773284725e-06,1.8608268003946932e-07,2.3816529379324142e-07
inner,8.333333333332984,249.99999999999994,-1.6259085042757322e-06,1.786414596241325e-07,2.396858464620741e-07
