arc_coordinate,relative_angle_deg,active,facet_length,active_length,average_penetration,maximum_penetration,integrated_normal_force,average_pressure_mpa
-7.053628248458832,-1.347143762969821,1,0.35786001295166464,0.35786001295166464,0.004923267105596096,0.00492464330693565,0.8809202150865618,2.461633552798048e-06
-6.7001324015731,-1.279631029296637,1,0.3491316399005435,0.3491316399005435,0.004927840899995317,0.00492910538008573,0.8602325872921677,2.4639204499976585e-06
-6.355150254373942,-1.2137442924903947,1,0.3408326164650334,0.3408326164650334,0.004932122872844502,0.00493333059091583,0.8405141717393143,2.466061436422251e-06
-6.017938144151547,-1.1493415234355828,1,0.33359156846278815,0.33359156846278815,0.004936130593051757,0.004937236733326245,0.8233257733366441,2.4680652965258787e-06
-5.687644862327623,-1.0862601532687965,1,0.32699496181154714,0.32699496181154714,0.004939827927728402,0.004940856444648034,0.8076494222915814,2.469913963864201e-06
-5.3636642471896145,-1.0243844136305962,1,0.3209662369691476,0.3209662369691476,0.004943264542930591,0.0049442201566876065,0.7933105093437227,2.4716322714652956e-06
-5.045449537930224,-0.9636098808987774,1,0.3154631517069222,0.3154631517069222,0.004946455757192325,0.004947342591833603,0.7802122614713705,2.473227878596162e-06
-4.732494438641854,-0.9038398596777066,1,0.31044701848396644,0.31044701848396644,0.004949414909077632,0.004950236541560571,0.7682655508816213,2.474707454538816e-06
-4.424329673255567,-0.8449847248401284,1,0.305882485186636,0.305882485186636,0.0049521536336101235,0.004952913204476772,0.7573885302373471,2.4760768168050617e-06
-4.120519752928509,-0.786961304143641,1,0.3017373294994943,0.3017373294994943,0.004954682140777322,0.004955382404205011,0.7475062788384933,2.477341070388661e-06
-3.8206599421036103,-0.7296922987907811,1,0.29798226718239706,0.29798226718239706,0.004957009383332434,0.004957652754058017,0.7385504472449073,2.4785046916662167e-06
-3.5243734092844647,-0.6731057392671098,1,0.2945907743704505,0.2945907743704505,0.004959143204530392,0.004959731796077449,0.7304589184182828,2.4795716022651963e-06
-3.2313085485125903,-0.6171344737810515,1,0.2915389238651501,0.2915389238651501,0.004961090474523645,0.004961626139845521,0.7231754890701351,2.480545237261822e-06
-2.9411364576267474,-0.5617156866469003,1,0.28880523528239693,0.28880523528239693,0.004962857124809261,0.004963341435541224,0.7166495598017293,2.48142856240463e-06
-2.653548559549712,-0.5067904439840584,1,0.2863705388471685,0.2863705388471685,0.00496444872385382,0.004964883323225422,0.7108359280645783,2.48222436192691e-06
-2.368255777228523,-0.4523035361422295,1,0.2842150042935208,0.2842150042935208,0.0049658664447918,0.00496625036697651,0.7056868764637763,2.4829332223959002e-06
-2.0850203623221653,-0.39820955653299267,1,0.28225580448000614,0.28225580448000614,0.004967120777990886,0.004967461045453092,0.7009993355705857,2.4835603889954426e-06
-1.8035701097492307,-0.3444565178152587,1,0.2806446800216919,0.2806446800216919,0.0049682141358005074,0.004968505118824851,0.6971514332104902,2.4841070679002545e-06
-1.5236079021496707,-0.2909876747531915,1,0.27927971485936914,0.27927971485936914,0.004969143088686678,0.004969388436848021,0.6938904324519102,2.484571544343339e-06
-1.2448924370164427,-0.23775694196265942,1,0.27815119535937616,0.27815119535937616,0.004969914287045185,0.0049701141904847645,0.6911937998876301,2.484957143522593e-06
