radius_ед. длины,relative_angle_deg,sigma_rr_mpa,sigma_tt_mpa,radial_displacement_ед. длины
272.4292849410295,-4.0711099922733015e-13,-2.451136306843457e-06,1.4151683796603766e-07,6.106237262678283
272.86208874450017,-4.0711099922733015e-13,-2.45154709797371e-06,1.3454873956093328e-07,6.033678142950477
273.2893365066588,-4.0711099922733015e-13,-2.4519661953159347e-06,1.274970577764693e-07,5.962219145808231
273.71114457421595,-4.0711099922733015e-13,-2.452392517610927e-06,1.2036654280945593e-07,5.891838313708215
274.1276199015646,-4.0711099922733015e-13,-2.4528250475560466e-06,1.1316171701356891e-07,5.822515232886077
274.5388706290538,-4.0711099922733015e-13,-2.453262831387422e-06,1.0588687756125965e-07,5.754229271976362
274.9450062191885,-4.0711099922733015e-13,-2.45370497765424e-06,9.854608826437296e-08,5.686959573005128
275.3461310819182,-3.562221243239139e-13,-2.454150654336891e-06,9.114320978632004e-08,5.620686116546181
275.7423521387138,-3.562221243239139e-13,-2.4545990866388454e-06,8.36819095227363e-08,5.5553884761287415
276.13377002564033,-3.562221243239139e-13,-2.4550495538622307e-06,7.616568666383128e-08,5.491047277007943
276.52048579383006,-3.562221243239139e-13,-2.4555013889179093e-06,6.859785944620941e-08,5.427643094513771
276.9026007060219,-3.562221243239139e-13,-2.4559539766378186e-06,6.098155687697873e-08,5.365156496401721
277.2802132844236,-3.562221243239139e-13,-2.456406748786476e-06,5.331976908749757e-08,5.303568531990927
277.6534166995229,-3.562221243239139e-13,-2.4568591816339773e-06,4.5615366640737464e-08,5.242861157849036
278.02230478225385,-3.562221243239139e-13,-2.4573107963467596e-06,3.787106634561756e-08,5.18301625907716
278.3869708722366,-3.562221243239139e-13,-2.4577611560752366e-06,3.008944002747879e-08,5.124015843386867
278.74750374696356,-3.562221243239139e-13,-2.458209861259169e-06,2.2272966091420523e-08,5.0658427021980055
279.1039884465015,-3.562221243239139e-13,-2.4586565509557488e-06,1.4423994467977147e-08,5.008480273945151
