arc_coordinate,relative_angle_deg,penetration,signed_distance,contact_normal_force_kn,normal_traction_estimate_mpa
-10.26180982171283,-1.9598613098334698,0.0,0.0,0.0,0.0
-9.522323418929801,-1.8186298102108738,0.0,0.0,0.0,0.0
-8.795310971491688,-1.6797806605719388,0.0,0.0,0.0,0.0
-8.07952194288788,-1.5430750260360482,0.0,0.0,0.0,0.0
-7.373781283475989,-1.4082884886524447,0.0,0.0,0.0,0.0
-6.67687991655006,-1.2751901317799326,0.0,0.0,0.0,0.0
-5.987966613468121,-1.1436173827232257,0.0,0.0,0.0,0.0
-5.305917004940497,-1.0133555027659495,0.0,0.0,0.0,0.0
-4.6299605943084465,-0.8842573378858545,0.0,0.0,0.0,0.0
-3.959169606275914,-0.7561456960536057,0.0,0.0,0.0,0.0
-3.292743853379676,-0.6288677527209966,0.0,0.0,0.0,0.0
-2.6299539777986602,-0.5022842108050195,0.0,0.0,0.0,0.0
-1.9699968603776874,-0.376241685845548,0.0,0.0,0.0,0.0
-1.3121540789829744,-0.2506029693220004,0.0,0.0,0.0,0.0
-0.6557291918614538,-0.12523505065728505,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.6557291918614538,0.12523505065728505,0.0,0.0,0.0,0.0
1.3121540789829744,0.2506029693220004,0.0,0.0,0.0,0.0
1.9699968603776874,0.376241685845548,0.0,0.0,0.0,0.0
2.629953977798394,0.5022842108049685,0.0,0.0,0.0,0.0
3.292743853379676,0.6288677527209966,0.0,0.0,0.0,0.0
3.959169606275914,0.7561456960536057,0.0,0.0,0.0,0.0
4.6299605943084465,0.8842573378858545,0.0,0.0,0.0,0.0
5.30591700494023,1.0133555027658985,0.0,0.0,0.0,0.0
5.987966613468121,1.1436173827232257,0.0,0.0,0.0,0.0
6.67687991655006,1.2751901317799326,0.0,0.0,0.0,0.0
7.373781283475989,1.4082884886524447,0.0,0.0,0.0,0.0
8.079521942887613,1.5430750260359973,0.0,0.0,0.0,0.0
8.795310971491421,1.679780660571888,0.0,0.0,0.0,0.0
9.522323418929801,1.8186298102108738,0.0,0.0,0.0,0.0
10.26180982171283,1.9598613098334698,0.0,0.0,0.0,0.0
11.01521542722228,2.1037511813574357,0.0,0.0,0.0,0.0
11.784127333080274,2.250602538100847,0.0,0.0,0.0,0.0
12.570289841108195,2.400748517172246,0.0,0.0,0.0,0.0
13.37562086771813,2.554555413624536,0.0,0.0,0.0,0.0
14.202260619801788,2.7124319768649836,0.0,0.0,0.0,0.0
15.05292048807858,2.8748960443763663,0.0,0.0,0.0,0.0
15.930178691971264,3.0424400197972923,0.0,0.0,0.0,0.0
16.837383568927144,3.215703388474816,0.0,0.0,0.0,0.0
17.778363695706112,3.3954173547085493,0.0,0.0,0.0,0.0
18.75744236665229,3.582407606896862,0.0,0.0,0.0,0.0
19.77988902680572,3.7776805349103233,0.0,0.0,0.0,0.0
20.85184704223426,3.98240943524124,0.0,0.0,0.0,0.0
21.980770049595932,4.198017847631374,0.0,0.0,0.0,0.0
23.175785288834305,4.426248946505291,0.0,0.0,0.0,0.0
24.447924104257,4.6692095634336,0.0,0.0,0.0,0.0
25.81127991268266,4.929591342758388,0.0,0.0,0.0,0.0
27.283316915068934,5.21072970117113,0.0,0.0,0.0,0.0
