arc_coordinate,relative_angle_deg,penetration,signed_distance,contact_normal_force_kn,normal_traction_estimate_mpa
-28.192671885980225,-5.384403707545992,0.0,0.0,0.0,0.0
-26.813909164363725,-5.121079424550672,0.0,0.0,0.0,0.0
-25.514307611813702,-4.872873811184786,0.0,0.0,0.0,0.0
-24.283015362325155,-4.637714313708576,0.0,0.0,0.0,0.0
-23.111071793709836,-4.4138895793447155,0.0,0.0,0.0,0.0
-21.99124204959695,-4.200017852308438,0.0,0.0,0.0,0.0
-20.91718813235497,-3.9948886642169086,0.0,0.0,0.0,0.0
-19.883657021998502,-3.797498762153924,0.0,0.0,0.0,0.0
-18.886334412449557,-3.6070241743534965,0.0,0.0,0.0,0.0
-17.92114139375034,-3.4226858863969745,0.0,0.0,0.0,0.0
-16.984827010079773,-3.2438630114579197,0.0,0.0,0.0,0.0
-16.07450218475277,-3.0700037765338495,0.0,0.0,0.0,0.0
-15.187565466158937,-2.9006113409651526,0.0,0.0,0.0,0.0
-14.321677833757551,-2.7352389847345706,0.0,0.0,0.0,0.0
-13.474911522027266,-2.5735185317478892,0.0,0.0,0.0,0.0
-12.645346292634407,-2.4150832434978464,0.0,0.0,0.0,0.0
-11.83146238270929,-2.259642866656797,0.0,0.0,0.0,0.0
-11.031658948104006,-2.1068916625136294,0.0,0.0,0.0,0.0
-10.244611516785707,-1.9565766755431258,0.0,0.0,0.0,0.0
-9.469090223577226,-1.808463018798547,0.0,0.0,0.0,0.0
-8.703951084988493,-1.6623322075271811,0.0,0.0,0.0,0.0
-7.948127751080758,-1.5179805838924465,0.0,0.0,0.0,0.0
-7.200623703271702,-1.3752178268644326,0.0,0.0,0.0,0.0
-6.460504864974315,-1.23386554095588,0.0,0.0,0.0,0.0
-5.726892590548882,-1.0937559172106452,0.0,0.0,0.0,0.0
-4.998972804240331,-0.9547334786121628,0.0,0.0,0.0,0.0
-4.275977511659779,-0.8166515490365236,0.0,0.0,0.0,0.0
-3.5571049268805055,-0.6793569986514809,0.0,0.0,0.0,0.0
-2.8416329407905394,-0.5427119147754882,0.0,0.0,0.0,0.0
-2.1288909778561127,-0.4065882269154468,0.0,0.0,0.0,0.0
-1.4181471847323657,-0.2708461613784135,0.0,0.0,0.0,0.0
-0.7087395768233584,-0.13535928841955472,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.7087395768233584,0.13535928841955472,0.0,0.0,0.0,0.0
1.4181471847326321,0.2708461613784644,0.0,0.0,0.0,0.0
2.128890977856379,0.40658822691549773,0.0,0.0,0.0,0.0
2.8416329407905394,0.5427119147754882,0.0,0.0,0.0,0.0
3.557104926880772,0.6793569986515318,0.0,0.0,0.0,0.0
4.275977511659779,0.8166515490365236,0.0,0.0,0.0,0.0
4.998972804240598,0.9547334786122138,0.0,0.0,0.0,0.0
5.726892590548882,1.0937559172106452,0.0,0.0,0.0,0.0
6.460504864974315,1.23386554095588,0.0,0.0,0.0,0.0
7.200623703271702,1.3752178268644326,0.0,0.0,0.0,0.0
7.948127751080758,1.5179805838924465,0.0,0.0,0.0,0.0
8.703951084988493,1.6623322075271811,0.0,0.0,0.0,0.0
9.469090223577226,1.808463018798547,0.0,0.0,0.0,0.0
10.244611516785707,1.9565766755431258,0.0,0.0,0.0,0.0
11.031658948104006,2.1068916625136294,0.0,0.0,0.0,0.0
11.83146238270929,2.259642866656797,0.0,0.0,0.0,0.0
12.645346292634674,2.4150832434978975,0.0,0.0,0.0,0.0
13.474911522027533,2.5735185317479403,0.0,0.0,0.0,0.0
14.321677833757551,2.7352389847345706,0.0,0.0,0.0,0.0
15.187565466159203,2.9006113409652037,0.0,0.0,0.0,0.0
16.07450218475277,3.0700037765338495,0.0,0.0,0.0,0.0
16.98482701008004,3.2438630114579707,0.0,0.0,0.0,0.0
17.921141393750606,3.422685886397025,0.0,0.0,0.0,0.0
18.886334412449823,3.6070241743535476,0.0,0.0,0.0,0.0
19.88365702199877,3.797498762153975,0.0,0.0,0.0,0.0
20.917188132355236,3.994888664216959,0.0,0.0,0.0,0.0
21.99124204959695,4.200017852308438,0.0,0.0,0.0,0.0
23.111071793709836,4.4138895793447155,0.0,0.0,0.0,0.0
24.283015362325422,4.637714313708628,0.0,0.0,0.0,0.0
