mesh_label,contact_parameter_value,penalty_case_name,al_case_name,penalty_max_penetration,al_max_penetration,penalty_total_time_seconds,al_total_time_seconds,penalty_total_normal_force_kn,al_total_normal_force_kn,penalty_contact_patch_length,al_contact_patch_length
контактно-ориентированная средняя,25.0,penalty_contact_focused_medium_penalty_parameter_25,augmented_lagrangian_contact_focused_medium_augmentation_parameter_25,0.0982741715758948,8.591428013460245e-09,32.2061349,642.5399807,0.22501808708082213,0.22778078236067298,118.44712489362287,113.89569484801537
контактно-ориентированная средняя,50.0,penalty_contact_focused_medium_penalty_parameter_50,augmented_lagrangian_contact_focused_medium_augmentation_parameter_50,0.04943763633252729,6.545235464727739e-09,37.3356967,382.92822090000004,0.22637709395099725,0.22778078241538768,118.44712489362287,113.89569484801537
контактно-ориентированная средняя,100.0,penalty_contact_focused_medium_penalty_parameter_100,augmented_lagrangian_contact_focused_medium_augmentation_parameter_100,0.02479482957841128,3.5481662052916363e-09,70.392672,251.05796270000002,0.22708733454618224,0.22778078243221833,116.17140987081912,113.89569484801537
контактно-ориентированная средняя,250.0,penalty_contact_focused_medium_penalty_parameter_250,augmented_lagrangian_contact_focused_medium_augmentation_parameter_250,0.009936232210350227,1.2230430002091452e-09,83.5079273,163.86499170000002,0.22750472660584675,0.2277807824332949,116.17140987081912,113.89569484801537
контактно-ориентированная средняя,500.0,penalty_contact_focused_medium_penalty_parameter_500,augmented_lagrangian_contact_focused_medium_augmentation_parameter_500,0.004971156038777735,5.834976946061943e-10,83.93216430000001,128.9206526,0.22763233032748942,0.2277807824337549,116.17140987081912,113.89569484801537
контактно-ориентированная средняя,1000.0,penalty_contact_focused_medium_penalty_parameter_1000,augmented_lagrangian_contact_focused_medium_augmentation_parameter_1000,0.002486342052065993,2.610249794088304e-10,93.10550880000001,103.1255924,0.22770059534330692,0.2277807824412122,113.89569484801537,113.89569484801537
контактно-ориентированная средняя,2000.0,penalty_contact_focused_medium_penalty_parameter_2000,augmented_lagrangian_contact_focused_medium_augmentation_parameter_2000,0.0012433643178155762,4.376943252282217e-11,93.15217840000001,93.27954480000001,0.22774060102973448,0.22778078243816072,113.89569484801537,113.89569484801537
контактно-ориентированная средняя,5000.0,penalty_contact_focused_medium_penalty_parameter_5000,augmented_lagrangian_contact_focused_medium_augmentation_parameter_5000,0.0004973921403461645,5.4569682106375694e-12,92.8870033,82.69411740000001,0.22776468762120688,0.22778078243661046,113.89569484801537,113.89569484801537
контактно-ориентированная средняя,10000.0,penalty_contact_focused_medium_penalty_parameter_10000,augmented_lagrangian_contact_focused_medium_augmentation_parameter_10000,0.0002487038076992576,2.0520474208751693e-11,101.95861040000001,82.781812,0.22777273121002975,0.227780782464867,113.89569484801537,113.89569484801537
контактно-ориентированная тяжелая,10.0,penalty_contact_focused_heavy_penalty_parameter_10,augmented_lagrangian_contact_focused_heavy_augmentation_parameter_10,0.24128308658941933,8.289537674954772e-06,115.3783923,4180.3818656,0.22095627114285782,0.22778770604481918,119.27077055317866,116.0758824142727
контактно-ориентированная тяжелая,25.0,penalty_contact_focused_heavy_penalty_parameter_25,augmented_lagrangian_contact_focused_heavy_augmentation_parameter_25,0.09827488802210382,3.477180143818259e-08,131.82185520000002,4436.2940669,0.2250014846888585,0.2277876070142469,117.67332648372567,116.0758824142727
контактно-ориентированная тяжелая,50.0,penalty_contact_focused_heavy_penalty_parameter_50,augmented_lagrangian_contact_focused_heavy_augmentation_parameter_50,0.04943825684483727,9.650023002905073e-09,131.7214103,3763.2824796000004,0.2263859887633345,0.2277876066319069,117.67332648372567,116.0758824142727
контактно-ориентированная тяжелая,100.0,penalty_contact_focused_heavy_penalty_parameter_100,augmented_lagrangian_contact_focused_heavy_augmentation_parameter_100,0.024794973297559864,2.8587692213477567e-09,165.213074,2895.6219201000004,0.2270778962651986,0.22778760663006703,116.0758824142727,116.0758824142727
контактно-ориентированная тяжелая,250.0,penalty_contact_focused_heavy_penalty_parameter_250,augmented_lagrangian_contact_focused_heavy_augmentation_parameter_250,0.009936313999446611,1.1394831744837575e-09,182.23864220000002,1733.2528815,0.22750594998229437,0.22778760662932196,116.0758824142727,116.0758824142727
контактно-ориентированная тяжелая,500.0,penalty_contact_focused_heavy_penalty_parameter_500,augmented_lagrangian_contact_focused_heavy_augmentation_parameter_500,0.004971216445312621,5.307470019033644e-10,182.2914704,1213.9809604000002,0.22764751923307425,0.22778760663058464,116.0758824142727,116.0758824142727
контактно-ориентированная тяжелая,1000.0,penalty_contact_focused_heavy_penalty_parameter_1000,augmented_lagrangian_contact_focused_heavy_augmentation_parameter_1000,0.0024863733834195045,2.3135271476348862e-10,199.24588350000002,936.9378147000001,0.22771782514546365,0.2277876066288598,116.0758824142727,116.0758824142727
контактно-ориентированная тяжелая,2000.0,penalty_contact_focused_heavy_penalty_parameter_2000,augmented_lagrangian_contact_focused_heavy_augmentation_parameter_2000,0.0012433779958769264,1.0646772352629341e-10,216.2838079,781.7353906000001,0.22775279625475955,0.22778760662761113,116.0758824142727,116.0758824142727
контактно-ориентированная тяжелая,5000.0,penalty_contact_focused_heavy_penalty_parameter_5000,augmented_lagrangian_contact_focused_heavy_augmentation_parameter_5000,0.0004973971106210229,4.916955731459893e-11,233.38174640000003,661.6782934,0.22777370423017027,0.22778760663222486,116.0758824142727,116.0758824142727
контактно-ориентированная тяжелая,10000.0,penalty_contact_focused_heavy_penalty_parameter_10000,augmented_lagrangian_contact_focused_heavy_augmentation_parameter_10000,0.00024870620717365455,1.1766587704187259e-11,233.0735813,600.5236418000001,0.2277806592933393,0.22778760663223666,116.0758824142727,116.0758824142727
