arc_coordinate,relative_angle_deg,active,facet_length,active_length,average_penetration,maximum_penetration,integrated_normal_force,average_pressure
-0.03663268832443278,-4.197796866416332,1,0.003849665185250981,0.003849665185250981,0.003407335577969572,0.003416303393518838,131.17101148976494,34073.355779695725
-0.03292156980781247,-3.772534009865942,1,0.003572554739752723,0.003572554739752723,0.0034357596638638285,0.0034432025019570794,122.74439471787943,34357.596638638286
-0.029459057477516648,-3.375759323790026,1,0.0033524560415690023,0.0033524560415690023,0.003459432324412773,0.003465656903259895,115.97594796376697,34594.32324412773
-0.026195118377718707,-3.0017394537777236,1,0.0031754105418832523,0.0031754105418832523,0.003479263624675218,0.0034844886523729968,110.4809039178462,34792.636246752176
-0.02309129174943303,-2.646067121495544,1,0.003032232731633111,0.003032232731633111,0.0034959102425450167,0.0035002961441554653,106.00413464296449,34959.10242545017
-0.02011726340337394,-2.305268576732627,1,0.002915815182139002,0.002915815182139002,0.003509856043531698,0.003513521753874982,102.34091538852054,35098.560435316984
-0.01724855267583325,-1.976538542068656,1,0.002821598397226504,0.002821598397226504,0.003521462895179475,0.003524498403759471,99.36154060931011,35214.628951794744
-0.014464830201939893,-1.6575474438890443,1,0.0027458393561109735,0.0027458393561109735,0.0035310044479607496,0.0035334777574475007,96.95570979813527,35310.044479607495
-0.011748924736687094,-1.346327602458045,1,0.0026859648943275117,0.0026859648943275117,0.0035386876620043042,0.0035406502582138455,95.0479083213346,35386.87662004305
-0.009085921608567471,-1.0411699223152642,1,0.002640035065537926,0.002640035065537926,0.0035446682781699324,0.003546158592313539,93.58048550068564,35446.682781699325
-0.006462562599669486,-0.74055512360031,1,0.0026066769335340496,0.0026066769335340496,0.0035490610590473777,0.0035501069181258643,92.51255598322724,35490.61059047378
-0.0038667384717432363,-0.4430955898235067,1,0.0025849654915311936,0.0025849654915311936,0.0035519468575106457,0.003552567114951749,91.81660054417685,35519.46857510646
-0.0012871271432839393,-0.14749390601380022,1,0.0025742514433978146,0.0025742514433978146,0.003553377217615048,0.003553582778965253,91.47286431382446,35533.77217615047
0.0012871271432846054,0.14749390601387655,1,0.0025742514433980362,0.0025742514433980362,0.003553377217632068,0.0035535827789724556,91.47286431427051,35533.77217632069
0.0038667384717436803,0.4430955898235576,1,0.002584965491530973,0.002584965491530973,0.00355194685741448,0.003552567114930738,91.81660054168316,35519.4685741448
0.00646256259966993,0.7405551236003608,1,0.0026066769335340505,0.0026066769335340505,0.0035490610591257586,0.0035501069180283173,92.51255598527042,35490.61059125759
0.009085921608567915,1.041169922315315,1,0.0026400350655379234,0.0026400350655379234,0.0035446682784065417,0.0035461585926347267,93.58048550693213,35446.68278406542
0.011748924736687538,1.346327602458096,1,0.002685964894327511,0.002685964894327511,0.0035386876621712475,0.003540650258336428,95.04790832581861,35386.87662171248
0.014464830201940337,1.6575474438890951,1,0.00274583935611098,0.00274583935611098,0.003531004448203125,0.0035334777576906673,96.95570980479074,35310.04448203125
0.017248552675833695,1.976538542068707,1,0.0028215983972265024,0.0028215983972265024,0.0035214628955051244,0.00352449840403625,99.36154061849857,35214.628955051245
0.020117263403374386,2.305268576732678,1,0.002915815182139004,0.002915815182139004,0.003509856043940877,0.0035135217542848207,102.34091540045154,35098.56043940877
0.023091291749433474,2.6460671214955944,1,0.0030322327316333326,0.0030322327316333326,0.0034959102427628633,0.003500296144483106,106.00413464957785,34959.10242762863
0.02619511837771915,3.001739453777774,1,0.0031754105418830307,0.0031754105418830307,0.0034792636248823297,0.003484488652476511,110.48090392441517,34792.6362488233
