contour,relative_angle_deg,radius_ед. длины,sigma_rr_mpa,sigma_tt_mpa,tau_rt_mpa
mid,-4.900115412155636,0.38733679454692543,-0.030561493651763944,0.0033653140964378285,-0.0039501264895313035
mid,-4.41836697887726,0.3873367945469254,-0.030856811378620237,0.0034460324207295527,-0.0035891093581777176
mid,-3.977226753955403,0.3873367945469254,-0.03110063496494052,0.0035126552693919987,-0.0032508860596628117
mid,-3.567841265776456,0.38733679454692543,-0.031304120249835275,0.0035682323726131666,-0.002931211218161799
mid,-3.1836773818035704,0.3873367945469254,-0.03147508523442035,0.0036149058955330794,-0.0026267303148138415
mid,-2.819801525751851,0.38733679454692543,-0.03161915790861472,0.003654218572818595,-0.002334774152560723
mid,-2.472332717239211,0.3873367945469255,-0.03174048605468374,0.003687310519679035,-0.002053148250351663
mid,-2.138204436226043,0.3873367945469255,-0.03184217206062952,0.003715033031285998,-0.0017800570085557794
mid,-1.8148726479112693,0.3873367945469255,-0.03192656791456552,0.003738033317978482,-0.001513963330963362
mid,-1.500222239866794,0.3873367945469254,-0.03199546269878727,0.00375680292101151,-0.001253555513512089
mid,-1.1924329650492962,0.3873367945469255,-0.032050214221894996,0.0037717152586861985,-0.0009976797351682295
mid,-0.8899068795812323,0.3873367945469255,-0.032091839393256584,0.003783049920684503,-0.0007453036735579658
mid,-0.5912033676193622,0.38733679454692543,-0.032121076091904566,0.003791009831379595,-0.000495482023815405
mid,-0.2949878120276513,0.3873367945469254,-0.032138425000676984,0.0037957327015478294,-0.00024732860317608373
mid,2.5444437451708134e-14,0.38733679454692527,-0.03214417628348481,0.003797298272167715,-2.069563440979805e-12
mid,0.2949878120277276,0.3873367945469254,-0.03213842499881163,0.003795732695104502,0.0002473285994740613
mid,0.5912033676194131,0.38733679454692543,-0.03212107608175762,0.0037910098354850355,0.0004954820166730189
mid,0.8899068795812831,0.3873367945469254,-0.03209183937953574,0.003783049928004449,0.0007453036636610091
mid,1.192432965049347,0.3873367945469255,-0.03205021420832481,0.0037717152627079575,0.0009976797291752725
mid,1.500222239866845,0.3873367945469255,-0.03199546268202134,0.0037568029296312015,0.0012535555110370616
mid,1.8148726479113202,0.38733679454692543,-0.03192656789581166,0.00373803332905185,0.0015139633281142147
mid,2.138204436226094,0.3873367945469255,-0.03184217204329563,0.0037150330383454166,0.0017800570047847653
mid,2.472332717239262,0.3873367945469254,-0.03174048603500709,0.0036873105309034398,0.002053148250504817
mid,2.8198015257519273,0.3873367945469255,-0.03161915788666584,0.0036542185864459906,0.0023347741563253775
mid,3.1836773818036215,0.38733679454692543,-0.03147508521464977,0.003614905902753135,0.0026267303192070617
mid,3.5678412657765324,0.3873367945469254,-0.03130412023096516,0.003568232378139864,0.002931211223539826
mid,3.977226753955454,0.3873367945469254,-0.031100634944736867,0.0035126552778880398,0.003250886065043779
mid,4.418366978877336,0.38733679454692543,-0.030856811359047172,0.003446032427769514,0.0035891093629293264
mid,4.9001154121557375,0.3873367945469254,-0.030561493634070274,0.0033653141005166027,0.003950126493328593
mid,5.434874250227065,0.3873367945469254,-0.030198216596911465,0.0032660141201961775,0.004339360334157474
mid,6.040727800690169,0.3873367945469253,-0.02974172201223488,0.0031412673549207674,0.0047637316433809754
mid,6.7447481474883855,0.3873367945469254,-0.02915175498967229,0.0029801847724794223,0.005231482691587461
mid,7.588708103234283,0.3873367945469253,-0.02836234457537899,0.0027649444040994324,0.005750495469550384
mid,8.63564729239316,0.3873367945469254,-0.02726832333576459,0.0024670050928479463,0.006320380891487253
mid,9.965899725654094,0.38733679454692543,-0.025730416363595212,0.0020487516954269805,0.006908694664446206
mid,11.624783136516426,0.3873367945469255,-0.023649742794798756,0.0014907370974165223,0.007407824535908404
mid,13.537489061526424,0.38733679454692543,-0.021089530283105094,0.0008448178457242084,0.00763237608989342
mid,15.563483461897052,0.3873367945469255,-0.0182687407564603,0.0002320553079025335,0.007436552165536792
mid,17.62021266799284,0.38733679454692543,-0.015411590740376149,-0.0002280119216870945,0.006807604058984638
mid,19.682750008876425,0.3873367945469254,-0.012647054467519719,-0.00046573541423549855,0.005831680599200163
mid,21.74612022231072,0.3873367945469254,-0.009994529445105304,-0.00047821897590902604,0.004638095887381641
mid,23.809583706675614,0.3873367945469254,-0.007382401449190068,-0.00033024199012657117,0.0033656141798867386
mid,25.87305541307178,0.38733679454692527,-0.00470221831190539,-0.0001412843904768187,0.0021452073247414556
mid,27.936527690864082,0.3873367945469254,-0.0019329999465497194,-6.399377355906512e-05,0.0010731743605635665
mid,30.000000000000018,0.3873367945469254,-0.0005301528728162165,-7.776156143644284e-05,0.0005651444078842542
outer,-29.999999999999993,0.5,0.000115694656983293,0.00013689296117739798,0.0001758863259771969
outer,-27.936527690864057,0.49999999999999994,8.19929513955129e-05,0.0003938076137014068,0.0002996506479853961
outer,-25.87305541307173,0.49999999999999994,3.3120945715824062e-06,0.0009895050424402457,0.0004470053011432697
outer,-23.809583706675486,0.5,-7.474780979269679e-05,0.0015876032466370688,0.0004077278475556024
outer,-21.74612022231059,0.4999999999999999,-0.00017124722888781394,0.001852612294223702,0.00019552409524545617
outer,-19.682750008876322,0.5,-0.0004103820717612233,0.0013213190779962475,-0.00038588553472066253
outer,-17.620212667992686,0.5,-0.0026421176894883096,-0.0009728561989917743,-0.002306965291789035
